,B,A
2023-11-25,"[(17, 15), (14, 14)]","[(17, 15), (15, 7), (15, 13), (14, 14), (15, 7), (14, 9)]"
2023-11-26,"[(17, 15), (14, 14)]","[(17, 15), (15, 7), (15, 13), (14, 14), (15, 7), (14, 9)]"
2023-11-27,"[(17, 15), (14, 14), (17, 5), (17, 5), (14, 12)]","[(17, 15), (15, 7), (15, 13), (14, 14), (14, 9)]"
2023-11-28,"[(17, 15), (14, 14), (17, 5), (17, 5), (14, 12)]","[(17, 15), (15, 7), (15, 13), (14, 14)]"
2023-11-29,"[(17, 15), (14, 14), (17, 5), (17, 5), (14, 12)]","[(15, 7), (15, 13), (15, 8)]"
2023-11-30,"[(17, 15), (14, 14), (15, 8), (17, 5), (17, 5), (14, 12)]","[(15, 13), (15, 8), (18, 14)]"
2023-12-01,"[(17, 15), (15, 8), (17, 5), (17, 5)]","[(15, 13), (15, 8), (18, 14)]"
2023-12-02,"[(15, 8), (17, 5), (17, 5)]","[(15, 13), (15, 8), (18, 14)]"
2023-12-03,"[(15, 8), (17, 5), (17, 5)]","[(15, 13), (15, 8), (18, 14)]"
2023-12-04,"[(15, 8), (17, 5), (17, 5), (17, 15)]","[(15, 13), (15, 8), (18, 14), (14, 8)]"
2023-12-05,"[(15, 8), (17, 15)]","[(15, 8), (18, 14), (18, 14), (14, 8)]"
2023-12-06,"[(15, 8), (17, 15), (13, 13), (14, 4), (14, 4)]","[(15, 8), (18, 14), (18, 14), (14, 8), (13, 13)]"
2023-12-07,"[(15, 8), (17, 15), (13, 13), (14, 4), (14, 4)]","[(15, 8), (18, 14), (18, 14), (14, 8), (13, 13)]"
2023-12-08,"[(15, 8), (17, 15), (13, 13), (14, 4), (14, 4)]","[(15, 8), (18, 14), (18, 14), (14, 8), (13, 13)]"
2023-12-09,"[(15, 8), (17, 15), (13, 13), (14, 4), (14, 4)]","[(15, 8), (18, 14), (18, 14), (14, 8), (13, 13)]"
2023-12-10,"[(15, 8), (17, 15), (13, 13), (14, 4), (14, 4)]","[(15, 8), (18, 14), (18, 14), (14, 8), (13, 13)]"
2023-12-11,"[(17, 15), (13, 13), (15, 7), (14, 4), (14, 4)]","[(18, 14), (18, 14), (13, 13)]"
2023-12-12,"[(13, 13), (15, 8), (15, 7), (14, 4), (14, 4)]","[(18, 14), (17, 15), (15, 8), (13, 13)]"
2023-12-13,"[(13, 13), (15, 8), (15, 7), (18, 14)]","[(18, 14), (17, 15), (15, 8), (13, 13)]"
2023-12-14,"[(13, 13), (15, 8), (15, 7), (18, 14)]","[(17, 15), (15, 8), (17, 15)]"
2023-12-15,"[(13, 13), (15, 8), (15, 7), (18, 14)]","[(17, 15), (15, 8), (17, 15)]"
2023-12-16,"[(13, 13), (15, 8), (15, 7), (18, 14)]","[(17, 15), (15, 8), (17, 15)]"
2023-12-17,"[(13, 13), (15, 8), (15, 7), (18, 14)]","[(17, 15), (15, 8), (17, 15)]"
2023-12-18,"[(15, 8), (15, 7), (18, 14), (17, 5), (17, 5)]","[(17, 15), (15, 8), (17, 15)]"
2023-12-19,"[(15, 8), (15, 7), (18, 14), (17, 5), (17, 5), (14, 14)]","[(17, 15), (15, 8), (17, 15)]"
2023-12-20,"[(15, 8), (15, 7), (18, 14), (17, 5), (17, 5), (14, 14), (6, 4)]","[(15, 8), (17, 15), (17, 15), (14, 14), (6, 4)]"
2023-12-21,"[(15, 8), (18, 14), (18, 14), (17, 5), (17, 5), (14, 14), (6, 4)]","[(15, 8), (17, 15), (14, 14), (6, 4)]"
2023-12-22,"[(15, 8), (18, 14), (18, 14), (17, 5), (17, 5), (14, 14)]","[(15, 8), (17, 15), (14, 14)]"
2023-12-23,"[(15, 8), (18, 14), (18, 14), (17, 5), (17, 5), (14, 14)]","[(15, 8), (17, 15), (14, 14)]"
2023-12-24,"[(15, 8), (18, 14), (18, 14), (17, 5), (17, 5), (14, 14)]","[(15, 8), (17, 15), (14, 14)]"
2023-12-25,"[(15, 8), (18, 14), (18, 14), (17, 5), (17, 5), (14, 14)]","[(15, 8), (17, 15), (14, 14)]"
2023-12-26,"[(15, 8), (18, 14), (17, 5), (17, 5), (14, 14), (15, 7)]","[(15, 8), (17, 15), (14, 14)]"
2023-12-27,"[(18, 14), (17, 5), (17, 5), (14, 14), (15, 7)]","[(17, 15), (14, 14)]"
2023-12-28,"[(18, 14), (17, 5), (17, 5), (14, 14), (15, 7)]","[(14, 14)]"
2023-12-29,"[(18, 14), (15, 7), (17, 15), (13, 13), (13, 13)]","[(14, 14)]"
2023-12-30,"[(18, 14), (15, 7), (17, 15), (13, 13), (13, 13)]","[(14, 14)]"
2023-12-31,"[(18, 14), (15, 7), (17, 15), (13, 13), (13, 13)]","[(14, 14)]"
2024-01-01,"[(18, 14), (15, 7), (17, 15), (13, 13), (13, 13), (15, 7)]","[(14, 14), (17, 15)]"
2024-01-02,"[(18, 14), (15, 7), (17, 15), (13, 13), (13, 13), (15, 7)]","[(17, 15), (17, 15)]"
2024-01-03,"[(18, 14), (15, 7), (17, 15), (13, 13), (13, 13), (15, 7)]","[(17, 15), (17, 15)]"
2024-01-04,"[(18, 14), (15, 7), (17, 15), (15, 8), (13, 13), (13, 13), (15, 7)]","[(15, 8), (17, 15), (17, 15)]"
2024-01-05,"[(15, 8), (15, 7), (15, 7)]","[(15, 8), (17, 15), (17, 15)]"
2024-01-06,"[(15, 8), (15, 7), (15, 7)]","[(15, 8), (17, 15), (17, 15)]"
2024-01-07,"[(15, 8), (15, 7), (15, 7)]","[(15, 8), (17, 15), (17, 15)]"
2024-01-08,"[(15, 8), (15, 7)]","[(15, 8), (17, 15), (16, 13)]"
2024-01-09,"[(15, 8), (15, 7)]","[(15, 8), (16, 13), (17, 15)]"
2024-01-10,"[(15, 8), (15, 7), (15, 10)]","[(15, 8), (16, 13), (17, 15)]"
2024-01-11,"[(15, 8), (18, 14), (15, 7), (15, 10)]","[(15, 8), (16, 13), (17, 15)]"
2024-01-12,"[(15, 8), (18, 14), (18, 14), (15, 10), (15, 10)]","[(15, 8), (16, 13), (17, 15)]"
2024-01-13,"[(15, 8), (18, 14), (18, 14), (15, 10), (15, 10)]","[(15, 8), (16, 13), (17, 15)]"
2024-01-14,"[(15, 8), (18, 14), (18, 14), (15, 10), (15, 10)]","[(15, 8), (16, 13), (17, 15)]"
2024-01-15,"[(15, 8), (18, 14), (18, 14), (15, 10), (15, 10)]","[(15, 8), (16, 13), (13, 13)]"
2024-01-16,"[(18, 14), (18, 14), (15, 10), (15, 10)]","[(16, 13), (13, 13), (13, 13)]"
2024-01-17,"[(18, 14), (18, 14), (15, 10), (15, 10)]","[(31, 12), (13, 13), (13, 13)]"
2024-01-18,"[(18, 14), (18, 14), (15, 10), (15, 10), (17, 5)]","[(31, 12), (13, 13), (13, 13)]"
2024-01-19,"[(18, 14), (15, 10), (16, 13), (17, 5)]","[(31, 12), (14, 11), (13, 13), (13, 13)]"
2024-01-20,"[(18, 14), (15, 10), (16, 13), (17, 5)]","[(31, 12), (14, 11), (13, 13), (13, 13)]"
2024-01-21,"[(18, 14), (15, 10), (16, 13), (17, 5)]","[(31, 12), (14, 11), (13, 13), (13, 13)]"
2024-01-22,"[(15, 10), (16, 13), (17, 15), (13, 9), (17, 5)]","[(31, 12), (14, 11), (17, 5)]"
2024-01-23,"[(15, 10), (17, 15), (13, 9), (17, 5)]","[(31, 12), (14, 11), (15, 10), (17, 5)]"
2024-01-24,"[(15, 10), (17, 15), (13, 9), (17, 5)]","[(31, 12), (14, 11), (15, 10), (17, 5)]"
2024-01-25,"[(15, 10), (17, 15), (13, 9)]","[(31, 12), (14, 11), (15, 10), (17, 5)]"
2024-01-26,"[(15, 10), (17, 15), (13, 9), (13, 9)]","[(14, 11), (15, 10), (15, 13), (17, 5)]"
2024-01-27,"[(15, 10), (17, 15), (13, 9), (13, 9)]","[(14, 11), (15, 10), (15, 13), (17, 5)]"
2024-01-28,"[(15, 10), (17, 15), (13, 9), (13, 9)]","[(14, 11), (15, 10), (15, 13), (17, 5)]"
2024-01-29,"[(15, 10), (13, 9), (13, 9)]","[(14, 11), (15, 10), (15, 13)]"
2024-01-30,"[(15, 10), (13, 9), (13, 9)]","[(14, 11), (15, 10), (15, 13)]"
2024-01-31,"[(15, 10), (13, 9), (13, 9), (14, 10)]","[(14, 11), (15, 10), (15, 13)]"
2024-02-01,"[(15, 10), (13, 9), (13, 9), (14, 10)]","[(14, 11), (15, 10), (15, 13)]"
2024-02-02,"[(15, 10), (13, 9), (13, 9), (14, 10)]","[(14, 11), (15, 10), (15, 13)]"
2024-02-03,"[(15, 10), (13, 9), (13, 9), (14, 10)]","[(14, 11), (15, 10), (15, 13)]"
2024-02-04,"[(15, 10), (13, 9), (13, 9), (14, 10)]","[(14, 11), (15, 10), (15, 13)]"
2024-02-05,"[(15, 10), (13, 9), (13, 9), (14, 10)]","[(14, 11), (15, 10), (15, 13)]"
2024-02-06,"[(13, 9), (14, 10), (17, 15)]","[(14, 11), (15, 10), (15, 13), (6, 3), (6, 3)]"
2024-02-07,"[(13, 9), (14, 10), (17, 15), (18, 11)]","[(15, 13), (15, 13), (14, 8), (14, 5), (6, 3), (6, 3)]"
2024-02-08,"[(14, 10), (17, 15), (18, 11)]","[(15, 13), (15, 13), (14, 8), (14, 5)]"
2024-02-09,"[(14, 10), (17, 15), (18, 11)]","[(15, 13), (15, 13), (14, 8), (14, 5), (14, 8)]"
2024-02-10,"[(14, 10), (17, 15), (18, 11)]","[(15, 13), (15, 13), (14, 8), (14, 5), (14, 8)]"
2024-02-11,"[(14, 10), (17, 15), (18, 11)]","[(15, 13), (15, 13), (14, 8), (14, 5), (14, 8)]"
2024-02-12,"[(17, 15), (18, 11), (16, 13)]","[(15, 13), (15, 13), (14, 8), (14, 5), (14, 14), (14, 8)]"
2024-02-13,"[(17, 15), (18, 11), (16, 13)]","[(15, 13), (17, 15), (14, 8), (14, 5), (14, 14), (14, 8)]"
2024-02-14,"[(31, 12), (18, 11), (16, 13), (14, 14)]","[(15, 13), (17, 15), (14, 8), (14, 5), (14, 14), (14, 8)]"
2024-02-15,"[(31, 12), (18, 11), (16, 13), (14, 14)]","[(15, 13), (17, 15), (14, 8), (14, 5), (14, 14), (14, 8)]"
2024-02-16,"[(31, 12), (16, 13), (17, 11), (14, 14)]","[(15, 13), (17, 15), (14, 14)]"
2024-02-17,"[(31, 12), (16, 13), (17, 11), (14, 14)]","[(15, 13), (17, 15), (14, 14)]"
2024-02-18,"[(31, 12), (16, 13), (17, 11), (14, 14)]","[(15, 13), (17, 15), (14, 14)]"
2024-02-19,"[(31, 12), (16, 13), (17, 11), (14, 14)]","[(17, 15), (17, 15), (14, 14)]"
2024-02-20,"[(31, 12), (16, 13), (17, 11), (14, 14)]","[(17, 15), (17, 15)]"
2024-02-21,"[(31, 12), (16, 13), (17, 11), (14, 14)]","[(17, 15), (17, 15)]"
2024-02-22,"[(31, 12), (16, 13), (17, 11)]","[(17, 15), (17, 15)]"
2024-02-23,"[(31, 12), (15, 14), (18, 14)]","[(16, 13), (19, 13), (15, 13)]"
2024-02-24,"[(31, 12), (15, 14), (18, 14)]","[(16, 13), (19, 13), (15, 13)]"
2024-02-25,"[(15, 14), (18, 14)]","[(16, 13), (19, 13), (15, 13)]"
2024-02-26,"[(15, 14), (18, 14)]","[(16, 13), (19, 13), (15, 13)]"
2024-02-27,"[(15, 14), (18, 14)]","[(16, 13), (19, 13), (15, 13)]"
2024-02-28,"[(15, 14), (18, 14)]","[(16, 13), (19, 13), (15, 13)]"
2024-02-29,"[(15, 14), (18, 14)]","[(16, 13), (19, 13), (15, 13)]"
2024-03-01,"[(15, 14), (18, 14)]","[(16, 13), (19, 13), (15, 13)]"
2024-03-02,"[(18, 14), (18, 14)]","[(16, 13), (15, 13), (18, 14)]"
2024-03-03,"[(18, 14), (18, 14)]","[(16, 13), (18, 14), (16, 12)]"
2024-03-04,"[(18, 14), (18, 14)]","[(18, 14), (18, 14), (16, 12)]"
2024-03-05,"[(18, 14), (18, 14)]","[(18, 14), (18, 14), (16, 12)]"
2024-03-06,"[(18, 14), (18, 14)]","[(18, 14), (18, 14), (16, 12)]"
2024-03-07,"[(18, 14), (15, 13), (16, 12), (16, 12)]","[(18, 14), (18, 14), (16, 12)]"
2024-03-08,"[(18, 14), (15, 13), (16, 12), (16, 12)]","[(18, 14), (18, 14), (16, 12)]"
2024-03-09,"[(18, 14), (15, 13), (16, 12), (16, 12)]","[(18, 14), (18, 14), (16, 12)]"
2024-03-10,"[(18, 14), (15, 13), (16, 12), (16, 12)]","[(18, 14), (18, 14), (16, 12)]"
2024-03-11,"[(18, 14), (15, 13), (16, 12), (16, 12)]","[(18, 14), (18, 14)]"
2024-03-12,"[(18, 14), (15, 13), (16, 12), (16, 12)]","[(18, 14), (18, 14)]"
2024-03-13,"[(18, 14), (15, 13), (16, 12), (16, 12)]","[(18, 14), (18, 14)]"
2024-03-14,"[(18, 14), (15, 13), (16, 12)]","[(18, 14), (18, 14)]"
2024-03-15,"[(15, 13), (19, 15)]","[(18, 14), (16, 13), (15, 13)]"
2024-03-16,"[(19, 15), (27, 15)]","[(18, 14), (16, 13), (15, 13)]"
2024-03-17,"[(19, 15), (27, 15)]","[(16, 13), (15, 14), (15, 13), (16, 12)]"
2024-03-18,"[(19, 15), (27, 15)]","[(16, 13), (15, 14), (15, 13), (16, 12)]"
2024-03-19,"[(19, 15), (27, 15)]","[(16, 13), (15, 14), (16, 12)]"
2024-03-20,"[(19, 15), (27, 15)]","[(16, 13), (15, 14), (16, 12)]"
2024-03-21,"[(19, 15), (27, 15)]","[(16, 13), (15, 14), (16, 12)]"
2024-03-22,"[(19, 15), (27, 15)]","[(15, 14), (15, 14), (16, 12)]"
2024-03-23,"[(19, 15), (27, 15)]","[(15, 14), (15, 14), (16, 12)]"
2024-03-24,"[(19, 15), (27, 15)]","[(15, 14), (15, 14)]"
2024-03-25,"[(19, 15), (27, 15)]","[(15, 14), (15, 14)]"
2024-03-26,"[(19, 15), (27, 15)]","[(15, 14), (15, 14)]"
2024-03-27,"[(19, 15), (27, 15)]","[(15, 14), (15, 14)]"
2024-03-28,"[(19, 15), (27, 15)]","[(15, 14), (15, 14)]"
2024-03-29,"[(19, 15), (27, 15)]","[(15, 14)]"
2024-03-30,"[(19, 15)]","[(15, 14)]"
2024-03-31,[],"[(15, 14)]"
2024-04-01,[],"[(15, 14)]"
2024-04-02,[],"[(15, 14)]"
2024-04-03,[],[]
2024-04-04,[],[]
2024-04-05,[],[]
2024-04-06,[],[]
2024-04-07,[],[]
2024-04-08,[],[]
2024-04-09,[],[]
2024-04-10,[],[]
2024-04-11,[],[]
2024-04-12,[],[]
2024-04-13,[],[]
2024-04-14,[],[]
2024-04-15,[],[]
2024-04-16,[],[]
2024-04-17,[],[]
2024-04-18,[],[]
2024-04-19,[],[]
2024-04-20,[],[]
2024-04-21,[],[]
2024-04-22,[],[]
2024-04-23,[],[]
2024-04-24,[],[]
2024-04-25,[],[]
2024-04-26,[],[]
2024-04-27,[],[]
2024-04-28,[],[]
2024-04-29,[],[]
2024-04-30,[],[]
